Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.586575138,-0.623625902,1.71962498,7.048533386,2.3970862,-2.232442027,-26.21182021,24.13262736,8.517918105,4.263719415,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.014350558,3.003366929,2.195991207,2.696237829,2.665038075,2.200340433,-2.859783921,4.563568076,3.555768787,1.891307387,2.76680373
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.712458523,2.92800961,0.194177489,2.296167547,2.904654375,3.282162998,-0.984117425,4.030000306,3.974963545,3.357986995,4.176102889
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.82255927,0.943571561,-2.580049644,-0.147212941,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.044726524,1.07809952,4.423904529
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.240226954,2.227704075,3.908935514,3.283175933,3.671419281,2.062577902,-3.313756369,8.969576191,4.826696119,3.936616892,3.961719112
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,3.371820326
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.589732858,3.294223489,3.549283519,1.604825896,2.642845209,1.726916137,-4.757144996,4.40457596,6.995413818,1.504355199,1.548919124
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.165691841,6.786772877,5.56149076,0.735068714,1.313913882,1.108348135,-4.957052433,4.354755297,7.509697035,3.618706531,3.761615446
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621,-1.719105147
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.3,5.9
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773,,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.198291887,1.421619976,4.120367544,2.71272658,6.712004872,3.172221937,-18.86877652,8.172863112,9.107806234,2.427363001,4.32752145
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.595284116,2.190169287,2.759385972,2.279591798,2.878469715,2.171545057,-0.119590736,2.111168148,4.242385553,3.4419922,1.43111252
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.75579885,1.303523318,2.117219645,2.27224992,2.484221141,1.754976196,-6.318255092,4.795328857,5.277894485,-0.954962529,-1.173540536
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.479808934,-4.198960792,5.616440269,4.714680379,1.354477318,4.071402105
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565324,0.327156893,3.099999999,1.848999439,2.665539604,3.489231748
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.765540381,1.474164337,1.19350273,1.474467616,1.877968474,2.442890045,-4.792983908,6.207599813,4.259360737,1.201691782,1.018898625
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.357679098,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628,3.8487924,7.155451646,6.252947054,6.352777385,7.453115662
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.326845615,3.921228794,5.957976708,6.203489411,6.604569068,5.889204971,2.010772624,6.942524926,1.497239741,2.960181474,4.985103006
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.061059359,6.552639878,7.113478213,6.590249998,7.31941263,7.881915151,3.448017551,6.938679124,7.099828776,5.77511237,4.223259113
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.949448985,3.397553259,3.026628931,2.745926447,2.549464347,3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839,2.810827752
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.308856927,2.507872053,3.814993274,4.953835341,2.05258865,2.052877744,-5.911362952,4.350040917,6.180161255,3.878116148,3.017248391
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.847305942,0.996748943,-1.156267038,3.371236486,2.398520006,-0.839051301,-20.08955543,17.58689737,10.87745501,3.048774963,3.378506607
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,1.994395203,2.480047084
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.651124685,-3.829570558,-2.526446436,2.5321835,3.149197594,1.446455477,-0.672742951,2.438862124,-4.658395916,4.126540072,4.009848525
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.030845578,2.876183795,0.054551654,-1.812853541,1.11057125,4.267636896,-13.90291006,17.74617012,9.652977724,1.149016821,8.151789827
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.307106461,-6.827573035,4.607429171,6.476225712,4.917215573,2.105368822
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.111372697,3.605680426,3.08196521,1.38468279
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,3.241655329,3.395866455
