country,country_code,Year,unemployment_rate,GDP,region,Population
Africa Eastern and Southern,AFE,2014,6.947010734,4.014350558,Asia,590968990
Afghanistan,AFG,2014,7.915,2.724543362,Asia,32792523
Africa Western and Central,AFW,2014,3.881395714,5.712458523,Asia,406992047
Angola,AGO,2014,16.406,4.82255927,North America,27160769
Albania,ALB,2014,18.055,2.240226954,Europe,2889104
Arab World,ARB,2014,11.03740172,2.589732858,South America,400231008
United Arab Emirates,ARE,2014,2.002,4.165691841,South America,8059440
Argentina,ARG,2014,7.268,-2.512615321,South America,43024071
Armenia,ARM,2014,17.498,3.600000001,South America,3013800
Australia,AUS,2014,6.078,2.595284116,Oceania,23475686
Austria,AUT,2014,5.674,0.75579885,Oceania,8546356
Azerbaijan,AZE,2014,4.91,2.797585434,Asia,9535079
Burundi,BDI,2014,1.572,4.240650214,Asia,10799785
Belgium,BEL,2014,8.523,1.765540381,Europe,11209057
Benin,BEN,2014,1.872,6.357679098,Europe,11030004
Burkina Faso,BFA,2014,4.251,4.326845615,Africa,18229461
Bangladesh,BGD,2014,4.416,6.061059359,Europe,157964929
Bulgaria,BGR,2014,11.424,0.949448985,Europe,7073572
Bahrain,BHR,2014,1.141,4.308856927,Asia,1314562
"Bahamas, The",BHS,2014,13.8,1.847305942,Asia,382298
Bosnia and Herzegovina,BIH,2014,27.517,1.153851092,Africa,3564829
Belarus,BLR,2014,5.902,1.651124685,North America,9448515
Belize,BLZ,2014,8.244,4.030845578,North America,348923
Bolivia,BOL,2014,2.021,5.460569506,South America,10848888
Brazil,BRA,2014,6.755,0.50395574,South America,200085127
Barbados,BRB,2014,12.17,0.082405478,South America,278348
Brunei Darussalam,BRN,2014,6.862,-2.507887216,South America,416750
Bhutan,BTN,2014,2.63,5.881085507,Asia,733139
Botswana,BWA,2014,18.514,5.69714422,Africa,2172044
Central African Republic,CAF,2014,5.326,0.081070515,North America,4623182
Canada,CAN,2014,7.023,2.873466778,North America,35434066
Central Europe and the Baltics,CEB,2014,8.876275865,3.262021274,Other,103280478
Switzerland,CHE,2014,4.826,2.349881415,Europe,8188649
Channel Islands,CHI,2014,8.571,2.427101785,Europe,162726
Chile,CHL,2014,6.483,1.792649471,Europe,17864195
China,CHN,2014,4.63,7.461900282,Europe,1371860000
Cote d'Ivoire,CIV,2014,3.285,9.371999942,Africa,24527395
Cameroon,CMR,2014,3.534,5.719818145,Africa,22059893
"Congo, Dem. Rep.",COD,2014,4.436,9.470288099,South America,78403242
"Congo, Rep.",COG,2014,19.691,6.646065409,South America,4975880
Colombia,COL,2014,8.799,4.499030001,South America,46565429
Comoros,COM,2014,4.119,3.89569329,South America,711503
Cabo Verde,CPV,2014,11.674,0.69666684,Other,512326
Costa Rica,CRI,2014,8.499,3.542109878,North America,4767119
Caribbean small states,CSS,2014,8.586168642,2.561656764,Other,4286546
Cuba,CUB,2014,2.7,1.047576632,North America,11285775
Cyprus,CYP,2014,16.277,-1.776058677,Asia,1201801
Czechia,CZE,2014,6.108,2.245212199,Europe,10525347
Germany,DEU,2014,4.979,2.169498898,Europe,80982500
Djibouti,DJI,2014,26.173,7.192987285,Africa,1002717
Denmark,DNK,2014,6.925,1.277999832,Other,5643475
Dominican Republic,DOM,2014,6.719,7.111226297,North America,10315528
Algeria,DZA,2014,10.207,4.099999999,Africa,39205031
East Asia & Pacific (excluding high income),EAP,2014,4.041865758,7.022979697,Other,2040383789
Early-demographic dividend,EAR,2014,6.646582389,4.134333178,Other,3146800078
East Asia & Pacific,EAS,2014,4.017839961,4.802990053,Other,2284385542
Europe & Central Asia (excluding high income),ECA,2014,9.007788178,3.361947301,South America,238114658
Europe & Central Asia,ECS,2014,8.954600496,1.943633541,South America,903676408
Ecuador,ECU,2014,3.48,4.226065204,South America,16035124
"Egypt, Arab Rep.",EGY,2014,13.105,2.91591188,Africa,97528654
Euro area,EMU,2014,11.62617652,1.452001039,Other,342228563
Eritrea,ERI,2014,5.43,,Africa,3095173
Spain,ESP,2014,24.441,1.520485936,Europe,46460733
Estonia,EST,2014,7.352,3.322789882,Europe,1314545
