Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107624
Africa Eastern and Southern,AFE,590968990,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764,769294618
Afghanistan,AFG,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Africa Western and Central,AFW,406992047,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,521764076
Angola,AGO,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Albania,ALB,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Andorra,AND,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938
Arab World,ARB,400231008,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,482105978,492579811
United Arab Emirates,ARE,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,10876981
Argentina,ARG,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Armenia,ARM,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
American Samoa,ASM,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765
Antigua and Barbuda,ATG,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772
Australia,AUS,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
Austria,AUT,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9178482
Azerbaijan,AZE,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
Burundi,BDI,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Belgium,BEL,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,11876844
Benin,BEN,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Burkina Faso,BFA,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Bangladesh,BGD,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Bulgaria,BGR,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6444366
Bahrain,BHR,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
"Bahamas, The",BHS,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bosnia and Herzegovina,BIH,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Belarus,BLR,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9133712
Belize,BLZ,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072
Bermuda,BMU,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bolivia,BOL,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Brazil,BRA,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
Barbados,BRB,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467
Brunei Darussalam,BRN,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721
Bhutan,BTN,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524
Botswana,BWA,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Central African Republic,CAF,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Canada,CAN,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Central Europe and the Baltics,CEB,103280478,102973167,102647939,102337501,102074201,101864274,101215763,100205732,100071871,100175859,100050066
Switzerland,CHE,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093,9034102
Channel Islands,CHI,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126
Chile,CHL,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771
China,CHN,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
Cote d'Ivoire,CIV,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
Cameroon,CMR,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
"Congo, Dem. Rep.",COD,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Congo, Rep.",COG,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
Colombia,COL,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363
Comoros,COM,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628
Cabo Verde,CPV,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877
Costa Rica,CRI,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910
Caribbean small states,CSS,4286546,4314191,4341333,4366140,4407658,4443134,4459302,4479167,4497310,4519904,4539060
Cuba,CUB,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783
Curacao,CUW,155909,157980,159664,160175,159336,157441,154947,152369,149996,155800,155900
Cayman Islands,CYM,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457
Cyprus,CYP,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282
Czechia,CZE,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10882164
Germany,DEU,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83901923,83510950
Djibouti,DJI,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722
Dominica,DMA,70373,70410,69606,68496,68174,67880,67573,67202,66826,66510,66205
Denmark,DNK,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992
Dominican Republic,DOM,10315528,10434829,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265,11427557
Algeria,DZA,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308
East Asia & Pacific (excluding high income),EAP,2040383789,2056050896,2071486140,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754,2141122258
Early-demographic dividend,EAR,3146800078,3190318707,3233033717,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511607650,3552278604
