Economy,Year,Economy Code,Unemployment with advanced education (% of total labor force with advanced education)
Afghanistan,2021,AFG,9.797
Albania,2023,ALB,8.947
Algeria,2024,DZA,
American Samoa,2024,ASM,
Andorra,2024,AND,
Angola,2021,AGO,17.111
Antigua and Barbuda,2023,ATG,5.550
Argentina,2024,ARG,0.708
Armenia,2023,ARM,7.505
Aruba,2024,ABW,
Australia,2024,AUS,2.468
Austria,2024,AUT,3.609
Azerbaijan,2022,AZE,5.110
"Bahamas, The",2023,BHS,3.101
Bahrain,2024,BHR,
Bangladesh,2023,BGD,10.798
Barbados,2023,BRB,2.926
Belarus,2023,BLR,2.204
Belgium,2024,BEL,3.089
Belize,2019,BLZ,7.019
Benin,2022,BEN,10.297
Bermuda,2024,BMU,
Bhutan,2024,BTN,5.761
Bolivia,2024,BOL,4.375
Bosnia and Herzegovina,2023,BIH,8.598
Botswana,2024,BWA,19.885
Brazil,2024,BRA,3.826
British Virgin Islands,2024,VGB,
Brunei Darussalam,2023,BRN,6.138
Bulgaria,2024,BGR,1.616
Burkina Faso,2024,BFA,14.688
Burundi,2020,BDI,9.208
Cabo Verde,2019,CPV,7.130
Cambodia,2019,KHM,0.982
Cameroon,2021,CMR,18.774
Canada,2024,CAN,4.933
Cayman Islands,2015,CYM,2.520
Central African Republic,2024,CAF,
Chad,2018,TCD,7.576
Channel Islands,2024,CHI,
Chile,2024,CHL,7.128
China,2024,CHN,
Colombia,2024,COL,10.024
Comoros,2021,COM,10.969
"Congo, Dem. Rep.",2020,COD,5.496
"Congo, Rep.",2024,COG,
Costa Rica,2024,CRI,5.101
Cote d'Ivoire,2022,CIV,10.510
Croatia,2024,HRV,3.295
Cuba,2024,CUB,
Curacao,2020,CUW,10.580
Cyprus,2024,CYP,3.982
Czechia,2024,CZE,1.392
Denmark,2024,DNK,4.683
Djibouti,2017,DJI,16.290
Dominica,2024,DMA,
Dominican Republic,2024,DOM,3.475
Ecuador,2024,ECU,5.897
"Egypt, Arab Rep.",2023,EGY,14.175
El Salvador,2023,SLV,3.844
Equatorial Guinea,2024,GNQ,
Eritrea,2024,ERI,
Estonia,2024,EST,4.658
Eswatini,2023,SWZ,22.772
Ethiopia,2021,ETH,10.561
Faroe Islands,2024,FRO,
Fiji,2024,FJI,5.014
Finland,2024,FIN,4.516
France,2024,FRA,5.016
French Polynesia,2024,PYF,
Gabon,2024,GAB,
"Gambia, The",2023,GMB,10.724
Georgia,2020,GEO,12.308
Germany,2024,DEU,2.565
Ghana,2022,GHA,5.084
Gibraltar,2024,GIB,
Greece,2024,GRC,7.251
Greenland,2024,GRL,
Grenada,2023,GRD,4.246
Guam,2024,GUM,
Guatemala,2023,GTM,4.399
Guinea,2019,GIN,17.519
Guinea-Bissau,2022,GNB,6.132
Guyana,2019,GUY,6.133
Haiti,2024,HTI,
Honduras,2024,HND,5.774
"Hong Kong SAR, China",2024,HKG,2.867
Hungary,2024,HUN,1.821
Iceland,2024,ISL,2.252
India,2024,IND,13.470
Indonesia,2023,IDN,3.571
"Iran, Islamic Rep.",2023,IRN,11.868
Iraq,2021,IRQ,18.841
Ireland,2024,IRL,3.150
Isle of Man,2024,IMN,
Israel,2024,ISR,2.363
Italy,2024,ITA,3.366
Jamaica,2023,JAM,1.682
Japan,2020,JPN,2.470
Jordan,2023,JOR,26.608
Kazakhstan,2017,KAZ,3.490
Kenya,2022,KEN,7.675
Kiribati,2020,KIR,2.802
"Korea, Dem. People's Rep.",2024,PRK,
"Korea, Rep.",2024,KOR,2.748
Kosovo,2023,XKX,7.591
Kuwait,2016,KWT,5.680
Kyrgyz Republic,2018,KGZ,5.930
Lao PDR,2022,LAO,2.796
Latvia,2024,LVA,3.997
Lebanon,2019,LBN,14.469
Lesotho,2024,LSO,19.682
Liberia,2017,LBR,8.385
Libya,2024,LBY,
Liechtenstein,2024,LIE,
Lithuania,2024,LTU,4.130
Luxembourg,2024,LUX,4.784
"Macao SAR, China",2016,MAC,1.490
Madagascar,2015,MDG,8.451
Malawi,2020,MWI,2.336
Malaysia,2022,MYS,3.470
Maldives,2019,MDV,2.603
Mali,2022,MLI,12.693
Malta,2024,MLT,2.070
Marshall Islands,2021,MHL,1.813
Mauritania,2019,MRT,12.767
Mauritius,2023,MUS,3.793
Mexico,2024,MEX,3.210
"Micronesia, Fed. Sts.",2024,FSM,
Moldova,2024,MDA,2.372
Monaco,2016,MCO,6.170
Mongolia,2023,MNG,3.805
Montenegro,2023,MNE,8.864
Morocco,2022,MAR,25.850
Mozambique,2022,MOZ,9.301
Myanmar,2020,MMR,0.780
Namibia,2018,NAM,12.180
Nauru,2021,NRU,2.283
Nepal,2017,NPL,8.325
Netherlands,2024,NLD,2.771
New Caledonia,2022,NCL,3.372
New Zealand,2020,NZL,2.930
Nicaragua,2024,NIC,
Niger,2022,NER,4.617
Nigeria,2024,NGA,9.197
North Macedonia,2024,MKD,7.299
Northern Mariana Islands,2024,MNP,
Norway,2024,NOR,2.712
Oman,2021,OMN,4.520
Pakistan,2021,PAK,16.149
Palau,2020,PLW,0.509
Panama,2024,PAN,7.040
Papua New Guinea,2022,PNG,4.244
Paraguay,2017,PRY,2.762
Peru,2024,PER,5.810
Philippines,2023,PHL,3.352
Poland,2024,POL,1.350
Portugal,2024,PRT,4.651
Puerto Rico,2020,PRI,9.296
Qatar,2021,QAT,0.280
Romania,2024,ROU,1.904
Russian Federation,2024,RUS,1.467
Rwanda,2024,RWA,11.354
Samoa,2022,WSM,3.181
San Marino,2022,SMR,6.540
Sao Tome and Principe,2024,STP,
Saudi Arabia,2024,SAU,5.108
Senegal,2024,SEN,13.610
Serbia,2024,SRB,5.931
Seychelles,2024,SYC,1.730
Sierra Leone,2018,SLE,4.867
Singapore,2024,SGP,2.797
Sint Maarten (Dutch part),2024,SXM,
Slovak Republic,2024,SVK,2.024
Slovenia,2024,SVN,2.064
Solomon Islands,2024,SLB,
Somalia,2019,SOM,18.958
South Africa,2024,ZAF,12.771
South Sudan,2024,SSD,
Spain,2024,ESP,6.899
Sri Lanka,2022,LKA,5.366
St. Kitts and Nevis,2024,KNA,
St. Lucia,2024,LCA,6.739
St. Martin (French part),2024,MAF,
St. Vincent and the Grenadines,2024,VCT,
Sudan,2022,SDN,22.381
Suriname,2016,SUR,3.606
Sweden,2024,SWE,4.762
Switzerland,2024,CHE,3.414
Syrian Arab Republic,2024,SYR,
Tajikistan,2016,TJK,0.241
Tanzania,2020,TZA,6.360
Thailand,2024,THA,1.707
Timor-Leste,2022,TLS,2.343
Togo,2022,TGO,7.068
Tonga,2023,TON,0.826
Trinidad and Tobago,2023,TTO,2.579
Tunisia,2023,TUN,21.715
Turkiye,2024,TUR,9.129
Turkmenistan,2024,TKM,
Turks and Caicos Islands,2024,TCA,
Tuvalu,2017,TUV,2.978
Uganda,2021,UGA,9.947
Ukraine,2021,UKR,9.026
United Arab Emirates,2023,ARE,2.659
United Kingdom,2024,GBR,2.733
United States,2024,USA,2.608
Uruguay,2024,URY,1.909
Uzbekistan,2020,UZB,1.508
Vanuatu,2020,VUT,2.113
"Venezuela, RB",2017,VEN,5.760
Vietnam,2023,VNM,2.688
Virgin Islands (U.S.),2024,VIR,
West Bank and Gaza,2024,PSE,25.808
"Yemen, Rep.",2024,YEM,
Zambia,2023,ZMB,9.702
Zimbabwe,2023,ZWE,5.933
