Country,Year,Female_unemployment_rate,Male_unemployment_rate
Brazil,2015,13.747333333333332,9.579333333333333
Brazil,2016,18.077333333333332,13.470999999999998
Brazil,2017,19.580666666666666,14.784333333333334
Brazil,2018,19.040000000000003,14.347999999999999
Brazil,2019,18.921333333333333,13.530333333333333
Brazil,2020,21.317,15.694
Brazil,2021,20.937333333333335,14.270000000000001
Brazil,2022,14.988,10.171
Brazil,2023,12.424,8.942333333333332
Brazil,2024,12.410333333333334,8.93
Canada,2015,7.548333333333333,9.504
Canada,2016,7.505333333333334,9.593666666666666
Canada,2017,6.947,8.539333333333333
Canada,2018,6.611999999999999,7.760666666666666
Canada,2019,6.400333333333333,7.758
Canada,2020,12.288666666666666,12.892000000000001
Canada,2021,8.795333333333334,9.627666666666666
Canada,2022,6.195666666666667,7.060666666666667
Canada,2023,6.503,7.216
Canada,2024,7.258333333333333,7.955666666666667
China,2015,5.627333333333333,6.997333333333333
China,2016,5.567666666666667,6.906666666666666
China,2017,5.492333333333334,6.7989999999999995
China,2018,5.206666666666667,6.439666666666667
China,2019,5.639666666666667,6.9606666666666674
China,2020,6.460333333333334,7.944
China,2021,6.110333333333333,7.492999999999999
China,2022,7.028333333333333,8.603666666666667
China,2023,7.194,9.0
China,2024,7.148,9.032333333333334
France,2015,14.189333333333332,15.424
France,2016,14.428333333333333,14.695666666666668
France,2017,13.147666666666666,13.591333333333333
France,2018,12.406333333333334,12.790999999999999
France,2019,11.534,12.175666666666666
France,2020,11.813666666666668,11.725333333333333
France,2021,11.218333333333334,11.33
France,2022,9.810666666666666,10.735666666666667
France,2023,8.996333333333334,10.135
France,2024,9.045,10.028666666666666
Germany,2015,4.882000000000001,5.824000000000001
Germany,2016,4.439666666666667,5.454000000000001
Germany,2017,4.046666666666667,5.1610000000000005
Germany,2018,3.564333333333334,4.765333333333333
Germany,2019,3.3393333333333337,4.4110000000000005
Germany,2020,4.3999999999999995,5.199333333333333
Germany,2021,4.221666666666667,5.005333333333334
Germany,2022,3.6743333333333332,4.228666666666666
Germany,2023,3.501,4.225333333333333
Germany,2024,3.6460000000000004,4.458333333333333
India,2015,11.890333333333336,12.002
India,2016,12.140666666666666,12.203333333333333
India,2017,12.422666666666666,12.424333333333331
India,2018,12.734333333333332,12.665000000000001
India,2019,10.966666666666669,11.084000000000001
India,2020,11.982999999999999,12.724333333333334
India,2021,9.651666666666666,10.707
India,2022,8.750333333333332,8.428333333333333
India,2023,7.628333333333333,8.737666666666668
India,2024,7.778333333333333,9.092666666666666
Italy,2015,22.064666666666668,19.879666666666665
Italy,2016,21.165666666666667,18.858333333333334
Italy,2017,20.197333333333333,17.392666666666667
Italy,2018,19.006333333333334,16.192
Italy,2019,17.412666666666667,14.911333333333333
Italy,2020,17.011666666666667,14.497333333333332
Italy,2021,17.626,14.597
Italy,2022,14.522333333333334,11.841333333333333
Italy,2023,14.037333333333331,11.289666666666667
Italy,2024,14.633333333333333,11.671
Japan,2015,3.687333333333333,4.306666666666667
Japan,2016,3.3339999999999996,4.079
Japan,2017,3.1703333333333332,3.5246666666666666
Japan,2018,2.52,3.113
Japan,2019,2.637,2.9949999999999997
Japan,2020,2.994666666666667,3.716666666666667
Japan,2021,3.0340000000000003,3.679
Japan,2022,2.7880000000000003,3.488
Japan,2023,2.9026666666666667,3.3113333333333332
Japan,2024,2.9873333333333334,3.314
United Kingdom,2015,7.261666666666667,8.415666666666667
United Kingdom,2016,6.443666666666666,7.657333333333334
United Kingdom,2017,5.987666666666667,6.957000000000001
United Kingdom,2018,5.707000000000001,6.336333333333333
United Kingdom,2019,5.117,6.458666666666666
United Kingdom,2020,6.285333333333334,7.746666666666667
United Kingdom,2021,6.498333333333334,7.735666666666667
United Kingdom,2022,4.864,6.448
United Kingdom,2023,5.711000000000001,7.348
United Kingdom,2024,6.362333333333333,8.253333333333332
United States,2015,6.622333333333334,7.454000000000001
United States,2016,6.051333333333333,6.775333333333333
United States,2017,5.365666666666667,6.081333333333333
United States,2018,4.910666666666667,5.537999999999999
United States,2019,4.649333333333334,5.330666666666667
United States,2020,10.162333333333335,9.845333333333334
United States,2021,6.234333333333333,6.897666666666666
United States,2022,4.685333333333333,5.113666666666667
United States,2023,4.470666666666667,5.245666666666667
United States,2024,4.831,5.746666666666667
